Unnamed: 0;station;lat;long;entidad;FreqInf;AO;Altitud
103;21205527;5.19794444;-73.80466667;CAR;10min;;2972
104;21205660;4.5791;-74.52318;IDEAM;h;11;770
105;21205670;4.770888889;-74.43763889;IDEAM;h;11;1847
106;21205710;4.669333333;-74.10266667;IDEAM;h;11;2554
107;21205791;4.705583333;-74.15066667;IDEAM;h;11;2549
108;21205910;4.98922;-74.00119;IDEAM;h;11;2559
109;21205940;4.83211;-74.38056;IDEAM;h;11;2594
110;21206280;4.64823;-74.32035;IDEAM;h;11;2688
111;21206560;4.661111111;-74.13477778;IDEAM;h;11;2547
112;21206600;4.782222222;-74.09433333;IDEAM;h;11;2552
113;21206930;5.08644;-74.02217;IDEAM;h;11;3235
114;21206940;4.576861111;-74.17677778;IDEAM;h;11;2814
115;21206950;5.236055556;-73.52508333;IDEAM;h;11;3268
116;21206960;4.6;-74.06666667;IDEAM;h;11;2653
117;21206990;4.68863;-74.20559;IDEAM;h;11;2540
118;21215150;4.670777778;-75.32777778;IDEAM;h;10;4483
119;21215180;4.418388889;-75.24866667;IDEAM;h;10;1276
120;21235030;4.305333333;-74.80811111;IDEAM;h;11;296
121;21237020;5.202416667;-74.72761111;IDEAM;;10;215
122;21237060;4.63333333;-74.65;CAR;10min;;457
123;21255090;5;-74.89999167;IDEAM;h;10;284
124;21255160;4.760722222;-74.83425;IDEAM;;10;236
125;22020020;3.045055556;-75.76177778;IDEAM;h;10;1760
126;22025040;2.98;-76.06;IDEAM;h;9;3956
127;22045010;3.722444444;-75.50344444;IDEAM;h;10;895
128;22055020;3.455777778;-75.53636111;IDEAM;h;10;670
129;22065040;3.906916667;-75.48808333;IDEAM;h;10;1419
130;22070030;4.124555556;-75.49952778;IDEAM;h;10;2577
131;22075050;4.075805556;-75.70083333;IDEAM;h;10;3361
132;23020080;5.265611111;-75.14408333;IDEAM;h;10;1962
133;23025040;5.301108889;-74.91458056;IDEAM;h;10;755
134;23035030;5.492861111;-74.658;IDEAM;h;10;167
135;23065110;5.48121;-74.35125;IDEAM;h;11;1350
136;23065120;5.141555556;-74.13936111;IDEAM;h;11;1901
137;23065160;5.01666667;-74.33333333;CAR;10min;;1104
138;23065180;5.016861111;-74.47097222;IDEAM;h;11;843
139;23065504;4.87188889;-74.5725;CAR;h;;1544
140;23065505;5.34038889;-74.49516667;CAR;h;;1295
